livro	capitulo	versiculo	linha_txt	titulo_ara	referencias
2KI	25	27	127257	Libertado e honrado o rei Joaquim	Jeremias 52.31-34
2PE	1	1	364230	Prefácio e saudação	
2PE	1	12	364340	O apóstolo dá os motivos por que escreveu esta carta	
2PE	2	1	364469	Os falsos mestres, seu caráter, obras e justo castigo	
2PE	3	1	364761	A vinda do Senhor e o seu significado	
2SA	1	11	97692	Davi manda matar o amalequita	
2SA	1	17	97785	O lamento de Davi por Saul e Jônatas	
2SA	2	1	97887	Davi é aclamado rei de Judá	
2SA	2	8	97992	Abner faz Isbosete rei de Israel	
2SA	2	12	98026	Vitória de Davi sobre Isbosete	
2SA	2	18	98117	Abner mata a Asael	
2SA	3	1	98320	A família de Davi em Hebrom	
2SA	3	6	98358	Abner faz aliança com Davi	
2SA	3	22	98553	Joabe mata a Abner à traição	
2SA	3	31	98710	Davi lamenta a morte de Abner	
2SA	4	1	98841	A morte de Isbosete	
2SA	5	1	99006	Davi é ungido rei de todo o Israel	
2SA	5	1	99058	Davi conquista Sião	
2SA	5	1	99203	Davi derrota os filisteus	
2SA	6	1	99336	Davi traz para Jerusalém a arca	
2SA	6	1	99467	A arca é levada para Jerusalém	
2SA	6	20	99571	Mical repreendida por Davi	
2SA	7	1	99650	A aliança do Senhor com Davi	
2SA	7	1	99843	Ações de graças de Davi	
2SA	8	1	100016	Diversas vitórias de Davi	
2SA	8	2	100185	Oficiais de Davi	
2SA	9	1	100219	A bondade de Davi para com o filho de Jônatas	
2SA	10	1	100384	Davi derrota os amonitas e os siros	
2SA	11	1	100664	Davi comete adultério com Bate-Seba	
2SA	11	6	100718	Davi e Urias	
2SA	11	14	100821	A morte de Urias	
2SA	11	26	100982	Davi casa com Bate-Seba	
2SA	12	1	101012	Natã repreende a Davi	
2SA	12	16	101195	A morte do filho de Bate-Seba	
2SA	12	1	101350	Davi conquista Rabá	
2SA	13	1	101465	O incesto de Amnom	
2SA	13	23	101722	Absalão mata a Amnom	
2SA	13	37	101905	Absalão foge para Talmai	
2SA	14	1	101972	Absalão volta para Jerusalém	
2SA	14	25	102249	A beleza de Absalão	
2SA	15	1	102366	A revolta de Absalão e a fuga de Davi	
2SA	15	19	102577	A lealdade de Itai	
2SA	16	1	102825	Davi e Ziba	
2SA	16	5	102869	Davi amaldiçoado por Simei	
2SA	16	15	103002	Husai professa lealdade a Absalão	
2SA	16	20	103040	Absalão e as concubinas de Davi	
2SA	17	1	103119	O conselho de Aitofel e de Husai	
2SA	18	9	103646	A morte de Absalão	
2SA	18	19	103756	Davi chora amargamente a morte de Absalão	
2SA	19	1	103974	Joabe reprova a Davi	
2SA	19	11	104139	Davi volta para Jerusalém	
2SA	19	16	104199	Simei encontra-se com Davi	
2SA	19	24	104322	Mefibosete encontra-se com Davi	
2SA	19	31	104404	Barzilai encontra-se com Davi	
2SA	20	1	104603	A sedição de Seba e a sua morte	
2SA	20	2	104915	Oficiais de Davi	
2SA	21	1	104984	Vingados os gibeonitas	
2SA	21	1	105151	Gigantes mortos pelos homens de Davi	
2SA	22	1	105229	Cântico de Davi em ações de graças	Salmos 18.1-50
2SA	23	1	105670	As últimas palavras de Davi	
2SA	23	1	105771	Os valentes de Davi	
2SA	24	1	106113	O levantamento do censo	
2SA	24	1	106207	Davi escolhe o castigo	
2SA	24	1	106362	Davi erige um altar na eira de Araúna	
2TH	1	1	353957	Prefácio e saudação	
